id,keyword,topic_pillar,cluster_number,intent,target_template,volume_floor,kd_ceiling,target_city,status,slug,internal_links,cta
kw_001,AI workflow automation Dallas services,Commercial workflow automation,1,commercial,industry-guide,90,24,Dallas-Fort Worth,candidate-awaiting-ahrefs-or-semrush-verification,ai-workflow-automation-dallas-services,/services/;/pricing/;/blog/,https://calendly.com/operive/30min
kw_002,AI workflow automation Dallas company,Commercial workflow automation,1,commercial,industry-guide,70,22,Dallas-Fort Worth,candidate-awaiting-ahrefs-or-semrush-verification,ai-workflow-automation-dallas-company,/services/;/pricing/;/blog/,https://calendly.com/operive/30min
kw_003,AI workflow automation Dallas consultant,Commercial workflow automation,1,commercial,industry-guide,60,20,Dallas-Fort Worth,candidate-awaiting-ahrefs-or-semrush-verification,ai-workflow-automation-dallas-consultant,/services/;/pricing/;/blog/,https://calendly.com/operive/30min
kw_004,AI workflow automation Dallas agency,Commercial workflow automation,1,commercial,industry-guide,80,25,Dallas-Fort Worth,candidate-awaiting-ahrefs-or-semrush-verification,ai-workflow-automation-dallas-agency,/services/;/pricing/;/blog/,https://calendly.com/operive/30min
kw_005,AI workflow automation Dallas implementation,Commercial workflow automation,1,commercial-investigation,how-to,50,18,Dallas-Fort Worth,candidate-awaiting-ahrefs-or-semrush-verification,ai-workflow-automation-dallas-implementation,/services/;/pricing/;/blog/,https://calendly.com/operive/30min
kw_006,AI workflow automation Dallas pricing,Commercial workflow automation,1,commercial,industry-guide,50,19,Dallas-Fort Worth,candidate-awaiting-ahrefs-or-semrush-verification,ai-workflow-automation-dallas-pricing,/services/;/pricing/;/blog/,https://calendly.com/operive/30min
kw_007,AI workflow automation Dallas near me,Commercial workflow automation,1,commercial,industry-guide,60,23,Dallas-Fort Worth,candidate-awaiting-ahrefs-or-semrush-verification,ai-workflow-automation-dallas-near-me,/services/;/pricing/;/blog/,https://calendly.com/operive/30min
kw_008,AI workflow automation Dallas for small business,Commercial workflow automation,1,commercial-investigation,case-study,90,26,Dallas-Fort Worth,candidate-awaiting-ahrefs-or-semrush-verification,ai-workflow-automation-dallas-for-small-business,/services/;/pricing/;/blog/,https://calendly.com/operive/30min
kw_009,AI workflow automation Dallas for restaurants,Commercial workflow automation,1,commercial-investigation,case-study,70,21,Dallas-Fort Worth,candidate-awaiting-ahrefs-or-semrush-verification,ai-workflow-automation-dallas-for-restaurants,/services/;/pricing/;/blog/,https://calendly.com/operive/30min
kw_010,AI workflow automation Dallas for home services,Commercial workflow automation,1,commercial-investigation,case-study,60,23,Dallas-Fort Worth,candidate-awaiting-ahrefs-or-semrush-verification,ai-workflow-automation-dallas-for-home-services,/services/;/pricing/;/blog/,https://calendly.com/operive/30min
kw_011,AI workflow automation Dallas for med spas,Commercial workflow automation,1,commercial-investigation,case-study,50,20,Dallas-Fort Worth,candidate-awaiting-ahrefs-or-semrush-verification,ai-workflow-automation-dallas-for-med-spas,/services/;/pricing/;/blog/,https://calendly.com/operive/30min
kw_012,AI workflow automation Dallas for dental offices,Commercial workflow automation,1,commercial-investigation,case-study,50,20,Dallas-Fort Worth,candidate-awaiting-ahrefs-or-semrush-verification,ai-workflow-automation-dallas-for-dental-offices,/services/;/pricing/;/blog/,https://calendly.com/operive/30min
kw_013,AI workflow automation Dallas workflow audit,Commercial workflow automation,1,commercial-investigation,how-to,50,17,Dallas-Fort Worth,candidate-awaiting-ahrefs-or-semrush-verification,ai-workflow-automation-dallas-workflow-audit,/services/;/pricing/;/blog/,https://calendly.com/operive/30min
kw_014,AI workflow automation Dallas lead response,Commercial workflow automation,1,commercial-investigation,how-to,70,22,Dallas-Fort Worth,candidate-awaiting-ahrefs-or-semrush-verification,ai-workflow-automation-dallas-lead-response,/services/;/pricing/;/blog/,https://calendly.com/operive/30min
kw_015,AI workflow automation Dallas intake automation,Commercial workflow automation,1,commercial-investigation,how-to,80,24,Dallas-Fort Worth,candidate-awaiting-ahrefs-or-semrush-verification,ai-workflow-automation-dallas-intake-automation,/services/;/pricing/;/blog/,https://calendly.com/operive/30min
kw_016,DFW business process automation services,Process automation consulting,2,commercial,industry-guide,90,24,Dallas-Fort Worth,candidate-awaiting-ahrefs-or-semrush-verification,dfw-business-process-automation-services,/services/;/pricing/;/blog/,https://calendly.com/operive/30min
kw_017,DFW business process automation company,Process automation consulting,2,commercial,industry-guide,70,22,Dallas-Fort Worth,candidate-awaiting-ahrefs-or-semrush-verification,dfw-business-process-automation-company,/services/;/pricing/;/blog/,https://calendly.com/operive/30min
kw_018,DFW business process automation consultant,Process automation consulting,2,commercial,industry-guide,60,20,Dallas-Fort Worth,candidate-awaiting-ahrefs-or-semrush-verification,dfw-business-process-automation-consultant,/services/;/pricing/;/blog/,https://calendly.com/operive/30min
kw_019,DFW business process automation agency,Process automation consulting,2,commercial,industry-guide,80,25,Dallas-Fort Worth,candidate-awaiting-ahrefs-or-semrush-verification,dfw-business-process-automation-agency,/services/;/pricing/;/blog/,https://calendly.com/operive/30min
kw_020,DFW business process automation implementation,Process automation consulting,2,commercial-investigation,how-to,50,18,Dallas-Fort Worth,candidate-awaiting-ahrefs-or-semrush-verification,dfw-business-process-automation-implementation,/services/;/pricing/;/blog/,https://calendly.com/operive/30min
kw_021,DFW business process automation pricing,Process automation consulting,2,commercial,industry-guide,50,19,Dallas-Fort Worth,candidate-awaiting-ahrefs-or-semrush-verification,dfw-business-process-automation-pricing,/services/;/pricing/;/blog/,https://calendly.com/operive/30min
kw_022,DFW business process automation near me,Process automation consulting,2,commercial,industry-guide,60,23,Dallas-Fort Worth,candidate-awaiting-ahrefs-or-semrush-verification,dfw-business-process-automation-near-me,/services/;/pricing/;/blog/,https://calendly.com/operive/30min
kw_023,DFW business process automation for small business,Process automation consulting,2,commercial-investigation,case-study,90,26,Dallas-Fort Worth,candidate-awaiting-ahrefs-or-semrush-verification,dfw-business-process-automation-for-small-business,/services/;/pricing/;/blog/,https://calendly.com/operive/30min
kw_024,DFW business process automation for restaurants,Process automation consulting,2,commercial-investigation,case-study,70,21,Dallas-Fort Worth,candidate-awaiting-ahrefs-or-semrush-verification,dfw-business-process-automation-for-restaurants,/services/;/pricing/;/blog/,https://calendly.com/operive/30min
kw_025,DFW business process automation for home services,Process automation consulting,2,commercial-investigation,case-study,60,23,Dallas-Fort Worth,candidate-awaiting-ahrefs-or-semrush-verification,dfw-business-process-automation-for-home-services,/services/;/pricing/;/blog/,https://calendly.com/operive/30min
kw_026,DFW business process automation for med spas,Process automation consulting,2,commercial-investigation,case-study,50,20,Dallas-Fort Worth,candidate-awaiting-ahrefs-or-semrush-verification,dfw-business-process-automation-for-med-spas,/services/;/pricing/;/blog/,https://calendly.com/operive/30min
kw_027,DFW business process automation for dental offices,Process automation consulting,2,commercial-investigation,case-study,50,20,Dallas-Fort Worth,candidate-awaiting-ahrefs-or-semrush-verification,dfw-business-process-automation-for-dental-offices,/services/;/pricing/;/blog/,https://calendly.com/operive/30min
kw_028,DFW business process automation workflow audit,Process automation consulting,2,commercial-investigation,how-to,50,17,Dallas-Fort Worth,candidate-awaiting-ahrefs-or-semrush-verification,dfw-business-process-automation-workflow-audit,/services/;/pricing/;/blog/,https://calendly.com/operive/30min
kw_029,DFW business process automation lead response,Process automation consulting,2,commercial-investigation,how-to,70,22,Dallas-Fort Worth,candidate-awaiting-ahrefs-or-semrush-verification,dfw-business-process-automation-lead-response,/services/;/pricing/;/blog/,https://calendly.com/operive/30min
kw_030,DFW business process automation intake automation,Process automation consulting,2,commercial-investigation,how-to,80,24,Dallas-Fort Worth,candidate-awaiting-ahrefs-or-semrush-verification,dfw-business-process-automation-intake-automation,/services/;/pricing/;/blog/,https://calendly.com/operive/30min
