publish_date,status,owner,keyword_id,primary_keyword,topic_pillar,template,working_title,draft_due,review_due,publish_url,seo_checklist
2026-07-16,assigned,Operive content,kw_001,AI workflow automation Dallas services,Commercial workflow automation,industry-guide,Ai Workflow Automation Dallas Services,2026-07-14,2026-07-15,https://www.operive.com/blog/ai-workflow-automation-dallas-services/,H1 keyword; first 100 words; 3+ H2; meta description; 3 internal links; 1 authority link; JSON-LD; CTA
2026-07-17,assigned,Operive content,kw_002,AI workflow automation Dallas company,Commercial workflow automation,industry-guide,Ai Workflow Automation Dallas Company,2026-07-15,2026-07-16,https://www.operive.com/blog/ai-workflow-automation-dallas-company/,H1 keyword; first 100 words; 3+ H2; meta description; 3 internal links; 1 authority link; JSON-LD; CTA
2026-07-18,assigned,Operive content,kw_003,AI workflow automation Dallas consultant,Commercial workflow automation,industry-guide,Ai Workflow Automation Dallas Consultant,2026-07-16,2026-07-17,https://www.operive.com/blog/ai-workflow-automation-dallas-consultant/,H1 keyword; first 100 words; 3+ H2; meta description; 3 internal links; 1 authority link; JSON-LD; CTA
2026-07-19,assigned,Operive content,kw_004,AI workflow automation Dallas agency,Commercial workflow automation,industry-guide,Ai Workflow Automation Dallas Agency,2026-07-17,2026-07-18,https://www.operive.com/blog/ai-workflow-automation-dallas-agency/,H1 keyword; first 100 words; 3+ H2; meta description; 3 internal links; 1 authority link; JSON-LD; CTA
2026-07-20,assigned,Operive content,kw_005,AI workflow automation Dallas implementation,Commercial workflow automation,how-to,Ai Workflow Automation Dallas Implementation,2026-07-18,2026-07-19,https://www.operive.com/blog/ai-workflow-automation-dallas-implementation/,H1 keyword; first 100 words; 3+ H2; meta description; 3 internal links; 1 authority link; JSON-LD; CTA
2026-07-21,assigned,Operive content,kw_006,AI workflow automation Dallas pricing,Commercial workflow automation,industry-guide,Ai Workflow Automation Dallas Pricing,2026-07-19,2026-07-20,https://www.operive.com/blog/ai-workflow-automation-dallas-pricing/,H1 keyword; first 100 words; 3+ H2; meta description; 3 internal links; 1 authority link; JSON-LD; CTA
2026-07-22,assigned,Operive content,kw_007,AI workflow automation Dallas near me,Commercial workflow automation,industry-guide,Ai Workflow Automation Dallas Near Me,2026-07-20,2026-07-21,https://www.operive.com/blog/ai-workflow-automation-dallas-near-me/,H1 keyword; first 100 words; 3+ H2; meta description; 3 internal links; 1 authority link; JSON-LD; CTA
2026-07-23,planned,Operive content,kw_008,AI workflow automation Dallas for small business,Commercial workflow automation,case-study,Ai Workflow Automation Dallas For Small Business,2026-07-21,2026-07-22,https://www.operive.com/blog/ai-workflow-automation-dallas-for-small-business/,H1 keyword; first 100 words; 3+ H2; meta description; 3 internal links; 1 authority link; JSON-LD; CTA
2026-07-24,planned,Operive content,kw_009,AI workflow automation Dallas for restaurants,Commercial workflow automation,case-study,Ai Workflow Automation Dallas For Restaurants,2026-07-22,2026-07-23,https://www.operive.com/blog/ai-workflow-automation-dallas-for-restaurants/,H1 keyword; first 100 words; 3+ H2; meta description; 3 internal links; 1 authority link; JSON-LD; CTA
2026-07-25,planned,Operive content,kw_010,AI workflow automation Dallas for home services,Commercial workflow automation,case-study,Ai Workflow Automation Dallas For Home Services,2026-07-23,2026-07-24,https://www.operive.com/blog/ai-workflow-automation-dallas-for-home-services/,H1 keyword; first 100 words; 3+ H2; meta description; 3 internal links; 1 authority link; JSON-LD; CTA
2026-07-26,planned,Operive content,kw_011,AI workflow automation Dallas for med spas,Commercial workflow automation,case-study,Ai Workflow Automation Dallas For Med Spas,2026-07-24,2026-07-25,https://www.operive.com/blog/ai-workflow-automation-dallas-for-med-spas/,H1 keyword; first 100 words; 3+ H2; meta description; 3 internal links; 1 authority link; JSON-LD; CTA
2026-07-27,planned,Operive content,kw_012,AI workflow automation Dallas for dental offices,Commercial workflow automation,case-study,Ai Workflow Automation Dallas For Dental Offices,2026-07-25,2026-07-26,https://www.operive.com/blog/ai-workflow-automation-dallas-for-dental-offices/,H1 keyword; first 100 words; 3+ H2; meta description; 3 internal links; 1 authority link; JSON-LD; CTA
2026-07-28,planned,Operive content,kw_013,AI workflow automation Dallas workflow audit,Commercial workflow automation,how-to,Ai Workflow Automation Dallas Workflow Audit,2026-07-26,2026-07-27,https://www.operive.com/blog/ai-workflow-automation-dallas-workflow-audit/,H1 keyword; first 100 words; 3+ H2; meta description; 3 internal links; 1 authority link; JSON-LD; CTA
2026-07-29,planned,Operive content,kw_014,AI workflow automation Dallas lead response,Commercial workflow automation,how-to,Ai Workflow Automation Dallas Lead Response,2026-07-27,2026-07-28,https://www.operive.com/blog/ai-workflow-automation-dallas-lead-response/,H1 keyword; first 100 words; 3+ H2; meta description; 3 internal links; 1 authority link; JSON-LD; CTA
2026-07-30,planned,Operive content,kw_015,AI workflow automation Dallas intake automation,Commercial workflow automation,how-to,Ai Workflow Automation Dallas Intake Automation,2026-07-28,2026-07-29,https://www.operive.com/blog/ai-workflow-automation-dallas-intake-automation/,H1 keyword; first 100 words; 3+ H2; meta description; 3 internal links; 1 authority link; JSON-LD; CTA
2026-07-31,planned,Operive content,kw_016,DFW business process automation services,Process automation consulting,industry-guide,Dfw Business Process Automation Services,2026-07-29,2026-07-30,https://www.operive.com/blog/dfw-business-process-automation-services/,H1 keyword; first 100 words; 3+ H2; meta description; 3 internal links; 1 authority link; JSON-LD; CTA
2026-08-01,planned,Operive content,kw_017,DFW business process automation company,Process automation consulting,industry-guide,Dfw Business Process Automation Company,2026-07-30,2026-07-31,https://www.operive.com/blog/dfw-business-process-automation-company/,H1 keyword; first 100 words; 3+ H2; meta description; 3 internal links; 1 authority link; JSON-LD; CTA
2026-08-02,planned,Operive content,kw_018,DFW business process automation consultant,Process automation consulting,industry-guide,Dfw Business Process Automation Consultant,2026-07-31,2026-08-01,https://www.operive.com/blog/dfw-business-process-automation-consultant/,H1 keyword; first 100 words; 3+ H2; meta description; 3 internal links; 1 authority link; JSON-LD; CTA
2026-08-03,planned,Operive content,kw_019,DFW business process automation agency,Process automation consulting,industry-guide,Dfw Business Process Automation Agency,2026-08-01,2026-08-02,https://www.operive.com/blog/dfw-business-process-automation-agency/,H1 keyword; first 100 words; 3+ H2; meta description; 3 internal links; 1 authority link; JSON-LD; CTA
2026-08-04,planned,Operive content,kw_020,DFW business process automation implementation,Process automation consulting,how-to,Dfw Business Process Automation Implementation,2026-08-02,2026-08-03,https://www.operive.com/blog/dfw-business-process-automation-implementation/,H1 keyword; first 100 words; 3+ H2; meta description; 3 internal links; 1 authority link; JSON-LD; CTA
